id,category
0,3
1,0
2,0
3,4
4,0
5,3
6,1
7,4
8,2
9,3
10,4
11,1
12,3
13,0
14,4
15,3
16,0
17,2
18,3
19,4
20,3
21,2
22,3
23,1
24,2
25,4
26,0
27,2
28,0
29,0
30,3
31,3
32,4
33,0
34,2
35,0
36,3
37,4
38,0
39,3
40,4
41,2
42,1
43,0
44,2
45,2
46,0
47,3
48,3
49,4
50,2
51,0
52,0
53,1
54,2
55,0
56,2
57,3
58,4
59,4
60,1
61,0
62,2
63,2
64,1
65,2
66,3
67,2
68,4
69,1
70,0
71,4
72,4
73,0
74,3
75,0
76,2
77,2
78,1
79,4
80,3
81,2
82,0
83,3
84,1
85,3
86,2
87,3
88,0
89,4
90,1
91,3
92,3
93,4
94,3
95,1
96,4
97,3
98,0
99,1
100,1
101,0
102,3
103,2
104,0
105,2
106,1
107,2
108,2
109,4
110,4
111,2
112,4
113,0
114,0
115,1
116,0
117,0
118,3
119,3
120,0
121,2
122,4
123,2
124,2
125,2
126,1
127,0
128,1
129,1
130,4
131,3
132,0
133,3
134,4
135,2
136,0
137,4
138,4
139,4
140,1
141,0
142,4
143,2
144,2
145,1
146,0
147,1
148,1
149,1
150,1
151,4
152,2
153,1
154,1
155,1
156,1
157,4
158,1
159,3
160,0
161,1
162,4
163,1
164,2
165,1
166,2
167,4
168,1
169,2
170,2
171,2
172,4
173,3
174,0
175,3
176,2
177,0
178,1
179,3
180,1
181,0
182,3
183,2
184,0
185,3
186,3
187,0
188,0
189,2
190,0
191,4
192,4
193,4
194,2
195,3
196,4
197,4
198,0
199,3
200,4
201,3
202,2
203,4
204,1
205,4
206,0
207,1
208,4
209,3
210,3
211,0
212,1
213,2
214,3
215,3
216,4
217,2
218,2
219,3
220,4
221,4
222,4
223,3
224,3
225,4
226,4
227,2
228,1
229,3
230,3
231,1
232,4
233,1
234,4
235,4
236,4
237,0
238,0
239,4
240,3
241,4
242,4
243,3
244,2
245,2
246,1
247,0
248,2
249,3
250,0
251,1
252,2
253,1
254,4
255,0
256,3
257,2
258,4
259,0
260,3
261,4
262,3
263,3
264,2
265,0
266,3
267,2
268,3
269,2
270,3
271,2
272,1
273,1
274,4
275,1
276,4
277,2
278,1
279,4
280,1
281,0
282,0
283,2
284,0
285,2
286,3
287,3
288,3
289,3
290,0
291,3
292,0
293,0
294,2
295,0
296,4
297,2
298,0
299,0
300,1
301,1
302,3
303,0
304,0
305,4
306,0
307,2
308,0
309,2
310,1
311,3
312,3
313,3
314,2
315,3
316,4
317,3
318,2
319,4
320,3
321,4
322,0
323,1
324,3
325,2
326,2
327,0
328,1
329,3
330,2
331,0
332,2
333,3
334,4
335,2
336,4
337,4
338,3
339,0
340,3
341,2
342,4
343,2
344,0
345,2
346,0
347,3
348,3
349,2
350,3
351,0
352,1
353,2
354,3
355,3
356,2
357,4
358,2
359,2
360,1
361,2
362,4
363,0
364,0
365,2
366,4
367,1
368,3
369,2
370,0
371,3
372,0
373,3
374,3
375,3
376,2
377,4
378,1
379,2
380,4
381,2
382,4
383,4
384,3
385,3
386,1
387,4
388,4
389,1
390,2
391,2
392,1
393,2
394,0
395,0
396,1
397,3
398,4
399,0
400,3
401,0
402,1
403,3
404,1
405,3
406,3
407,1
408,3
409,0
410,2
411,3
412,3
413,0
414,3
415,3
416,1
417,2
418,2
419,3
420,1
421,0
422,2
423,0
424,4
425,2
426,4
427,3
428,4
429,3
430,0
431,1
432,0
433,0
434,2
435,2
436,2
437,4
438,1
439,4
440,2
441,4
442,0
443,4
444,1
445,3
446,1
447,4
448,1
449,3
450,0
451,0
452,1
453,3
454,3
455,2
456,4
457,0
458,1
459,3
460,2
461,2
462,0
463,3
464,1
465,2
466,0
467,4
468,1
469,2
470,4
471,2
472,1
473,1
474,4
475,0
476,4
477,3
478,0
479,2
480,3
481,4
482,1
483,2
484,1
485,4
486,4
487,1
488,3
489,0
490,3
491,1
492,4
493,0
494,3
495,0
496,3
497,0
498,0
499,3
500,1
501,3
502,1
503,0
504,4
505,0
506,1
507,4
508,4
509,4
510,1
511,0
512,0
513,3
514,3
515,4
516,3
517,2
518,3
519,4
520,4
521,3
522,2
523,4
524,2
525,4
526,3
527,2
528,1
529,0
530,4
531,3
532,4
533,4
534,3
535,2
536,0
537,3
538,0
539,0
540,4
541,4
542,3
543,4
544,3
545,4
546,3
547,1
548,2
549,0
550,2
551,3
552,2
553,2
554,2
555,1
556,2
557,1
558,0
559,0
560,1
561,2
562,3
563,1
564,4
565,0
566,1
567,2
568,0
569,0
570,1
571,0
572,2
573,3
574,2
575,2
576,0
577,4
578,4
579,0
580,2
581,0
582,3
583,1
584,3
585,3
586,1
587,1
588,0
589,1
590,0
591,4
592,2
593,3
594,2
595,3
596,0
597,0
598,3
599,4
600,2
601,3
602,4
603,4
604,3
605,3
606,4
607,4
608,2
609,1
610,2
611,2
612,3
613,0
614,1
615,0
616,4
617,2
618,2
619,3
620,1
621,3
622,1
623,3
624,0
625,1
626,0
627,2
628,4
629,2
630,0
631,2
632,1
633,2
634,3
635,2
636,1
637,4
638,4
639,3
640,4
641,0
642,4
643,0
644,0
645,4
646,3
647,0
648,4
649,0
650,2
651,2
652,2
653,2
654,0
655,1
656,4
657,2
658,4
659,0
660,0
661,3
662,3
663,4
664,3
665,2
666,3
667,0
668,2
669,2
670,1
671,4
672,3
673,3
674,1
675,4
676,1
677,2
678,3
679,2
680,0
681,4
682,1
683,3
684,3
685,1
686,1
687,0
688,4
689,2
690,1
691,2
692,4
693,3
694,4
695,3
696,1
697,2
698,1
699,0
700,3
701,3
702,3
703,4
704,3
705,0
706,1
707,1
708,1
709,2
710,3
711,4
712,1
713,3
714,4
715,3
716,4
717,0
718,0
719,1
720,0
721,1
722,3
723,3
724,2
725,0
726,3
727,0
728,4
729,2
730,2
731,4
732,1
733,0
734,3
735,0
736,3
737,2
738,3
739,0
740,1
741,0
742,0
743,3
744,0
745,0
746,4
747,2
748,1
749,0
750,1
751,4
752,0
753,0
754,2
755,2
756,1
757,3
758,1
759,2
760,0
761,0
762,3
763,2
764,3
765,0
766,0
767,4
768,3
769,1
770,1
771,0
772,3
773,2
774,4
775,1
776,3
777,0
778,0
779,2
780,2
781,3
782,4
783,4
784,2
785,2
786,0
787,2
788,2
789,3
790,3
791,3
792,1
793,3
794,2
795,3
796,0
797,4
798,4
799,3
800,4
801,3
802,3
803,3
804,2
805,4
806,4
807,0
808,3
809,4
810,4
811,3
812,4
813,2
814,2
815,3
816,2
817,0
818,0
819,0
820,3
821,3
822,3
823,1
824,3
825,2
826,4
827,3
828,1
829,4
830,0
831,0
832,4
833,0
834,0
835,4
836,4
837,2
838,3
839,0
840,3
841,1
842,0
843,4
844,3
845,2
846,0
847,0
848,3
849,3
850,0
851,2
852,2
853,4
854,3
855,2
856,2
857,1
858,4
859,2
860,2
861,2
862,3
863,1
864,3
865,1
866,3
867,2
868,3
869,0
870,4
871,2
872,4
873,2
874,0
875,1
876,3
877,3
878,2
879,1
880,4
881,2
882,4
883,2
884,2
885,2
886,4
887,3
888,1
889,1
890,2
891,0
892,4
893,1
894,2
895,1
896,3
897,1
898,4
899,4
900,4
901,1
902,2
903,3
904,1
905,2
906,3
907,4
908,4
909,2
910,0
911,3
912,0
913,4
914,4
915,4
916,3
917,3
918,4
919,0
920,2
921,0
922,2
923,0
924,0
925,1
926,1
927,3
928,1
929,1
930,2
931,0
932,0
933,4
934,3
935,3
936,3
937,3
938,2
939,4
940,1
941,1
942,1
943,0
944,2
945,1
946,3
947,1
948,4
949,3
950,3
951,3
952,0
953,4
954,3
955,0
956,4
957,3
958,0
959,2
960,1
961,0
962,1
963,1
964,2
965,2
966,0
967,3
968,0
969,3
970,4
971,0
972,0
973,1
974,4
975,0
976,0
977,2
978,1
979,3
980,4
981,1
982,2
983,1
984,3
985,0
986,2
987,3
988,4
989,3
990,4
991,3
992,4
993,1
994,3
995,1
996,1
997,2
998,0
999,0
1000,0
1001,1
1002,3
1003,4
1004,3
1005,4
1006,2
1007,3
1008,4
1009,4
1010,4
1011,4
1012,0
1013,2
1014,3
1015,0
1016,1
1017,1
1018,1
1019,0
1020,3
1021,3
1022,2
1023,3
1024,0
1025,3
1026,0
1027,4
1028,1
1029,2
1030,4
1031,1
1032,0
1033,1
1034,0
1035,2
1036,0
1037,1
1038,1
1039,3
1040,0
1041,0
1042,1
1043,3
1044,2
1045,0
1046,3
1047,1
1048,4
1049,4
1050,0
1051,0
1052,2
1053,2
1054,2
1055,1
1056,3
1057,1
1058,1
1059,4
1060,4
1061,4
1062,3
1063,3
1064,2
1065,2
1066,1
1067,1
1068,3
1069,0
1070,1
1071,2
1072,3
1073,0
1074,1
1075,0
1076,1
1077,4
1078,2
1079,4
1080,4
1081,0
1082,0
1083,2
1084,1
1085,1
1086,1
1087,2
1088,2
1089,3
1090,3
1091,1
1092,1
1093,2
1094,2
1095,2
1096,1
1097,0
1098,4
1099,1
1100,3
1101,2
1102,2
1103,2
1104,4
1105,3
1106,3
1107,4
1108,0
1109,0
1110,3
1111,2
1112,2
1113,4
1114,4
1115,3
1116,1
1117,4
1118,2
1119,0
1120,4
1121,2
1122,2
1123,2
1124,2
1125,4
1126,2
1127,4
1128,2
1129,0
1130,0
1131,4
1132,2
1133,2
1134,2
1135,2
1136,4
1137,1
1138,2
1139,2
1140,2
1141,4
1142,2
1143,1
1144,2
1145,4
1146,4
1147,4
1148,0
1149,0
1150,4
1151,4
1152,4
1153,4
1154,4
1155,0
1156,4
1157,1
1158,4
1159,4
1160,4
1161,2
1162,2
1163,3
1164,3
1165,3
1166,4
1167,0
1168,2
1169,4
1170,3
1171,2
1172,0
1173,2
1174,3
1175,4
1176,2
1177,4
1178,1
1179,0
1180,3
1181,2
1182,1
1183,1
1184,3
1185,0
1186,0
1187,3
1188,3
1189,2
1190,3
1191,1
1192,4
1193,1
1194,1
1195,2
1196,0
1197,2
1198,2
1199,3
1200,2
1201,1
1202,1
1203,4
1204,3
1205,1
1206,4
1207,0
1208,2
1209,4
1210,2
1211,2
1212,4
1213,2
1214,4
1215,0
1216,2
1217,2
1218,3
1219,4
1220,2
1221,0
1222,3
1223,3
1224,0
1225,4
1226,1
1227,0
1228,2
1229,3
1230,4
1231,1
1232,4
1233,3
1234,3
1235,4
1236,1
1237,3
1238,4
1239,3
1240,1
1241,4
1242,0
1243,3
1244,4
1245,3
1246,1
1247,0
1248,0
1249,4
1250,0
1251,0
1252,2
1253,2
1254,0
1255,2
1256,0
1257,0
1258,0
1259,2
1260,3
1261,2
1262,3
1263,4
1264,1
1265,0
1266,4
1267,0
1268,0
1269,2
1270,4
1271,4
1272,1
1273,3
1274,2
1275,1
1276,4
1277,0
1278,1
1279,0
1280,2
1281,0
1282,0
1283,3
1284,3
1285,4
1286,4
1287,0
1288,4
1289,1
1290,3
1291,1
1292,0
1293,0
1294,2
1295,0
1296,2
1297,3
1298,2
1299,2
1300,2
1301,4
1302,3
1303,3
1304,3
1305,3
1306,3
1307,2
1308,1
1309,2
1310,2
1311,1
1312,3
1313,3
1314,0
1315,2
1316,3
1317,3
1318,4
1319,4
1320,0
1321,3
1322,4
1323,0
1324,3
1325,4
1326,3
1327,0
1328,4
1329,0
1330,4
1331,4
1332,4
1333,3
1334,0
1335,4
1336,4
1337,2
1338,1
1339,0
1340,2
1341,3
1342,2
1343,3
1344,3
1345,3
1346,1
1347,2
1348,1
1349,1
1350,4
1351,3
1352,4
1353,3
1354,1
1355,4
1356,1
1357,4
1358,3
1359,2
1360,4
1361,3
1362,0
1363,1
1364,4
1365,1
1366,2
1367,4
1368,4
1369,2
1370,2
1371,1
1372,3
1373,3
1374,4
1375,0
1376,1
1377,4
1378,1
1379,2
1380,1
1381,4
1382,4
1383,2
1384,1
1385,1
1386,3
1387,1
1388,1
1389,0
1390,1
1391,4
1392,4
1393,4
1394,1
1395,1
1396,3
1397,4
1398,4
1399,0
1400,3
1401,2
1402,3
1403,0
1404,4
1405,0
1406,4
1407,1
1408,4
1409,4
1410,3
1411,2
1412,2
1413,1
1414,1
1415,3
1416,3
1417,2
1418,4
1419,0
1420,0
1421,2
1422,1
1423,3
1424,3
1425,2
1426,3
1427,1
1428,1
1429,3
1430,4
1431,3
1432,2
1433,0
1434,4
1435,4
1436,3
1437,3
1438,3
1439,4
1440,4
1441,2
1442,0
1443,4
1444,2
1445,2
1446,1
1447,2
1448,1
1449,2
1450,0
1451,2
1452,1
1453,0
1454,4
1455,1
1456,1
1457,4
1458,0
1459,1
1460,4
1461,4
1462,2
1463,3
1464,0
1465,0
1466,0
1467,3
1468,2
1469,1
1470,2
1471,1
1472,2
1473,0
1474,4
1475,2
1476,0
1477,2
1478,4
1479,1
1480,1
1481,0
1482,0
1483,0
1484,2
1485,4
1486,2
1487,1
1488,4
1489,0
1490,0
1491,3
1492,2
1493,1
1494,2
1495,2
1496,4
1497,1
1498,1
1499,0
1500,3
1501,0
1502,2
1503,2
1504,0
1505,2
1506,2
1507,3
1508,1
1509,3
1510,0
1511,4
1512,4
1513,3
1514,2
1515,3
1516,0
1517,1
1518,1
1519,2
1520,4
1521,0
1522,3
1523,0
1524,3
1525,2
1526,4
1527,1
1528,3
1529,0
1530,2
1531,1
1532,0
1533,4
1534,3
1535,3
1536,3
1537,3
1538,2
1539,0
1540,4
1541,4
1542,2
1543,2
1544,3
1545,2
1546,0
1547,0
1548,1
1549,2
1550,4
1551,4
1552,1
1553,4
1554,0
1555,2
1556,1
1557,3
1558,4
1559,3
1560,0
1561,2
1562,3
1563,0
1564,3
1565,4
1566,0
1567,2
1568,0
1569,4
1570,2
1571,4
1572,2
1573,4
1574,4
1575,2
1576,4
1577,2
1578,0
1579,1
1580,2
1581,3
1582,3
1583,4
1584,0
1585,3
1586,1
1587,3
1588,0
1589,2
1590,0
1591,2
1592,2
1593,0
1594,4
1595,4
1596,3
1597,4
1598,1
1599,4
1600,2
1601,2
1602,1
1603,4
1604,0
1605,4
1606,2
1607,3
1608,0
1609,2
1610,0
1611,2
1612,0
1613,0
1614,3
1615,4
1616,0
1617,3
1618,0
1619,0
1620,4
1621,4
1622,4
1623,3
1624,4
1625,3
1626,0
1627,3
1628,4
1629,3
1630,3
1631,3
1632,0
1633,0
1634,3
1635,0
1636,0
1637,2
1638,1
1639,4
1640,2
1641,0
1642,1
1643,0
1644,4
1645,1
1646,2
1647,3
1648,1
1649,0
1650,2
1651,0
1652,4
1653,2
1654,4
1655,1
1656,2
1657,1
1658,3
1659,4
1660,3
1661,4
1662,3
1663,2
1664,4
1665,2
1666,2
1667,4
1668,2
1669,4
1670,0
1671,2
1672,3
1673,3
1674,2
1675,3
1676,0
1677,1
1678,0
1679,1
1680,4
1681,0
1682,3
1683,1
1684,4
1685,4
1686,1
1687,4
1688,1
1689,2
1690,1
1691,2
1692,0
1693,1
1694,4
1695,2
1696,0
1697,2
1698,0
1699,3
1700,1
1701,4
1702,0
1703,0
1704,0
1705,4
1706,1
1707,1
1708,4
1709,4
1710,2
1711,3
1712,0
1713,3
1714,3
1715,3
1716,0
1717,1
1718,0
1719,4
1720,1
1721,2
1722,0
1723,1
1724,1
1725,1
1726,0
1727,1
1728,0
1729,0
1730,2
1731,4
1732,1
1733,3
1734,1
1735,3
1736,1
1737,1
1738,2
1739,2
1740,1
1741,4
1742,1
1743,4
1744,2
1745,1
1746,1
1747,2
1748,2
1749,0
1750,2
1751,2
1752,0
