id,category
0,3
1,4
2,4
3,1
4,4
5,3
6,2
7,1
8,1
9,0
10,1
11,2
12,0
13,4
14,1
15,0
16,4
17,1
18,3
19,1
20,3
21,1
22,0
23,2
24,1
25,1
26,4
27,1
28,4
29,4
30,3
31,3
32,1
33,4
34,1
35,4
36,0
37,1
38,4
39,0
40,1
41,1
42,2
43,4
44,1
45,1
46,4
47,0
48,0
49,1
50,1
51,4
52,4
53,2
54,1
55,4
56,1
57,3
58,1
59,1
60,2
61,4
62,1
63,1
64,2
65,1
66,0
67,1
68,1
69,2
70,4
71,1
72,1
73,4
74,0
75,4
76,1
77,1
78,2
79,1
80,3
81,1
82,4
83,0
84,2
85,0
86,1
87,0
88,4
89,1
90,2
91,3
92,3
93,1
94,0
95,2
96,1
97,0
98,4
99,2
100,2
101,4
102,3
103,1
104,4
105,1
106,2
107,1
108,1
109,1
110,1
111,1
112,1
113,4
114,4
115,2
116,4
117,4
118,0
119,0
120,4
121,1
122,1
123,1
124,1
125,1
126,2
127,4
128,2
129,2
130,1
131,3
132,4
133,3
134,1
135,1
136,4
137,1
138,1
139,1
140,2
141,4
142,1
143,1
144,1
145,2
146,4
147,2
148,2
149,2
150,2
151,1
152,1
153,2
154,2
155,2
156,2
157,1
158,2
159,3
160,4
161,2
162,1
163,2
164,1
165,2
166,1
167,1
168,2
169,1
170,1
171,1
172,1
173,0
174,4
175,0
176,1
177,4
178,2
179,0
180,2
181,4
182,3
183,1
184,4
185,0
186,3
187,4
188,4
189,1
190,4
191,1
192,1
193,1
194,1
195,3
196,1
197,1
198,4
199,0
200,1
201,0
202,1
203,1
204,2
205,1
206,4
207,2
208,1
209,3
210,0
211,4
212,2
213,1
214,3
215,3
216,1
217,1
218,1
219,3
220,1
221,1
222,1
223,0
224,3
225,1
226,1
227,1
228,2
229,3
230,3
231,2
232,1
233,2
234,1
235,1
236,1
237,4
238,4
239,1
240,3
241,1
242,1
243,3
244,1
245,1
246,2
247,4
248,1
249,0
250,4
251,2
252,1
253,2
254,1
255,4
256,0
257,1
258,1
259,4
260,0
261,1
262,0
263,0
264,1
265,4
266,3
267,1
268,3
269,1
270,0
271,1
272,2
273,2
274,1
275,2
276,1
277,1
278,2
279,1
280,2
281,4
282,4
283,1
284,4
285,1
286,3
287,0
288,0
289,0
290,4
291,0
292,4
293,4
294,1
295,4
296,1
297,1
298,4
299,4
300,2
301,2
302,0
303,4
304,4
305,1
306,4
307,1
308,4
309,1
310,2
311,3
312,0
313,0
314,1
315,0
316,1
317,0
318,1
319,1
320,0
321,1
322,4
323,2
324,3
325,1
326,1
327,4
328,2
329,3
330,1
331,4
332,1
333,0
334,1
335,1
336,1
337,1
338,0
339,4
340,0
341,1
342,1
343,1
344,4
345,1
346,4
347,0
348,0
349,1
350,3
351,4
352,2
353,1
354,0
355,3
356,1
357,1
358,1
359,1
360,2
361,1
362,1
363,4
364,4
365,1
366,1
367,2
368,3
369,1
370,4
371,0
372,4
373,3
374,0
375,3
376,1
377,1
378,2
379,1
380,1
381,1
382,1
383,1
384,3
385,3
386,2
387,1
388,1
389,2
390,1
391,1
392,2
393,1
394,4
395,4
396,2
397,3
398,1
399,4
400,3
401,4
402,2
403,3
404,2
405,0
406,3
407,2
408,3
409,4
410,1
411,0
412,3
413,4
414,0
415,0
416,2
417,1
418,1
419,3
420,2
421,4
422,1
423,4
424,1
425,1
426,1
427,0
428,1
429,0
430,4
431,2
432,4
433,4
434,1
435,1
436,1
437,1
438,2
439,1
440,1
441,1
442,4
443,1
444,2
445,3
446,2
447,1
448,2
449,0
450,4
451,4
452,2
453,3
454,0
455,1
456,1
457,4
458,2
459,3
460,1
461,1
462,4
463,0
464,2
465,1
466,4
467,1
468,2
469,1
470,1
471,1
472,2
473,2
474,1
475,4
476,1
477,0
478,4
479,1
480,3
481,1
482,2
483,1
484,2
485,1
486,1
487,2
488,0
489,4
490,0
491,2
492,1
493,4
494,0
495,4
496,0
497,4
498,4
499,0
500,2
501,0
502,2
503,4
504,1
505,4
506,2
507,1
508,1
509,1
510,2
511,4
512,4
513,0
514,0
515,1
516,3
517,1
518,0
519,1
520,1
521,3
522,1
523,1
524,1
525,1
526,0
527,1
528,2
529,4
530,1
531,0
532,1
533,1
534,0
535,1
536,4
537,3
538,4
539,4
540,1
541,1
542,3
543,1
544,3
545,1
546,3
547,2
548,1
549,4
550,1
551,0
552,1
553,1
554,1
555,2
556,1
557,2
558,4
559,4
560,2
561,1
562,0
563,2
564,1
565,4
566,2
567,1
568,4
569,4
570,2
571,4
572,1
573,3
574,1
575,1
576,4
577,1
578,1
579,4
580,1
581,4
582,3
583,2
584,0
585,0
586,2
587,2
588,4
589,2
590,4
591,1
592,1
593,3
594,1
595,3
596,4
597,4
598,3
599,1
600,1
601,0
602,1
603,1
604,0
605,3
606,1
607,1
608,1
609,2
610,1
611,1
612,3
613,4
614,2
615,4
616,1
617,1
618,1
619,0
620,2
621,3
622,2
623,0
624,4
625,2
626,4
627,1
628,1
629,1
630,4
631,1
632,2
633,1
634,3
635,1
636,2
637,1
638,1
639,0
640,1
641,4
642,1
643,4
644,4
645,1
646,3
647,4
648,1
649,4
650,1
651,1
652,1
653,1
654,4
655,2
656,1
657,1
658,1
659,4
660,4
661,0
662,0
663,1
664,3
665,1
666,0
667,4
668,1
669,1
670,2
671,1
672,0
673,0
674,2
675,1
676,2
677,1
678,0
679,1
680,4
681,1
682,2
683,0
684,0
685,2
686,2
687,4
688,1
689,1
690,2
691,1
692,1
693,0
694,1
695,3
696,2
697,1
698,2
699,4
700,3
701,3
702,0
703,1
704,3
705,4
706,2
707,2
708,2
709,1
710,0
711,1
712,2
713,3
714,1
715,3
716,1
717,4
718,4
719,2
720,4
721,2
722,3
723,0
724,1
725,4
726,3
727,4
728,1
729,1
730,1
731,1
732,2
733,4
734,3
735,4
736,3
737,1
738,3
739,4
740,2
741,4
742,4
743,0
744,4
745,4
746,1
747,1
748,2
749,4
750,2
751,1
752,4
753,4
754,1
755,1
756,2
757,0
758,2
759,1
760,4
761,4
762,0
763,1
764,0
765,4
766,4
767,1
768,3
769,2
770,2
771,4
772,3
773,1
774,1
775,2
776,0
777,4
778,4
779,1
780,1
781,3
782,1
783,1
784,1
785,1
786,4
787,1
788,1
789,0
790,0
791,3
792,2
793,0
794,1
795,3
796,4
797,1
798,1
799,3
800,1
801,3
802,0
803,3
804,1
805,1
806,1
807,4
808,3
809,1
810,1
811,3
812,1
813,1
814,1
815,3
816,1
817,4
818,4
819,4
820,0
821,0
822,3
823,2
824,3
825,1
826,1
827,3
828,2
829,1
830,4
831,4
832,1
833,4
834,4
835,1
836,1
837,1
838,0
839,4
840,0
841,2
842,4
843,1
844,3
845,1
846,4
847,4
848,0
849,0
850,4
851,1
852,1
853,1
854,0
855,1
856,1
857,2
858,1
859,1
860,1
861,1
862,3
863,2
864,3
865,2
866,0
867,1
868,0
869,4
870,1
871,1
872,1
873,1
874,4
875,2
876,3
877,3
878,1
879,2
880,1
881,1
882,1
883,1
884,1
885,1
886,1
887,0
888,2
889,2
890,1
891,4
892,1
893,2
894,1
895,2
896,3
897,2
898,1
899,1
900,1
901,2
902,1
903,3
904,2
905,1
906,0
907,1
908,1
909,1
910,4
911,0
912,4
913,1
914,1
915,1
916,3
917,0
918,1
919,4
920,1
921,4
922,1
923,4
924,4
925,2
926,2
927,3
928,2
929,2
930,1
931,4
932,4
933,1
934,0
935,3
936,3
937,0
938,1
939,1
940,2
941,2
942,2
943,4
944,1
945,2
946,0
947,2
948,1
949,0
950,0
951,0
952,4
953,1
954,3
955,4
956,1
957,3
958,4
959,1
960,2
961,4
962,2
963,2
964,1
965,1
966,4
967,0
968,4
969,3
970,1
971,4
972,4
